Metabolite	num_IVs	num_unconditioned_IVs	unconditional_pass	conditional_pass
1-(1-enyl-palmitoyl)-2-arachidonoyl-GPE (P-16_0_20_4)*	3	1	FALSE	FALSE
1-arachidonoyl-GPA (20_4)	1	1	TRUE	TRUE
1-arachidonoyl-GPE (20_4n6)*	3	1	FALSE	FALSE
1-dihomo-linoleoyl-GPC (20_2)*	3	2	FALSE	FALSE
1-eicosapentaenoyl-GPC (20_5)*	2	1	FALSE	FALSE
1-eicosapentaenoyl-GPE (20_5)*	3	1	FALSE	FALSE
1-linoleoyl-GPI (18_2)*	2	1	FALSE	FALSE
1-margaroyl-GPC (17_0)	1	1	TRUE	TRUE
1-palmitoleoyl-GPC (16_1)*	1	1	TRUE	TRUE
1-palmitoyl-2-linoleoyl-GPE (16_0_18_2)	2	1	FALSE	TRUE
1-palmitoyl-2-linoleoyl-GPI (16_0_18_2)	1	1	TRUE	TRUE
1-palmitoyl-2-oleoyl-GPC (16_0_18_1)	1	0	FALSE	FALSE
1-palmitoyl-2-stearoyl-GPC (16_0_18_0)	2	1	FALSE	FALSE
1-palmitoyl-GPE (16_0)	2	1	FALSE	FALSE
1,3,7-trimethylurate	1	1	TRUE	TRUE
2-arachidonoyl-GPC (20_4)*	1	1	TRUE	TRUE
2-arachidonoyl-GPE (20_4)*	1	1	TRUE	TRUE
2-linoleoyl-GPE (18_2)*	1	1	TRUE	TRUE
2-palmitoyl-GPE (16_0)*	2	0	FALSE	FALSE
5-acetylamino-6-amino-3-methyluracil	2	1	FALSE	TRUE
5-acetylamino-6-formylamino-3-methyluracil	2	1	FALSE	TRUE
alpha-hydroxyisovalerate	3	0	FALSE	FALSE
arachidonate (20_4n6)	1	1	TRUE	TRUE
cholesterol	3	1	FALSE	FALSE
cysteine sulfinic acid	1	1	TRUE	TRUE
gamma-glutamyl-2-aminobutyrate	1	0	FALSE	FALSE
glutamate	1	0	FALSE	FALSE
sphinganine	1	1	TRUE	TRUE
sphingomyelin (d18_2_14_0, d18_1_14_1)*	1	0	FALSE	TRUE
X - 11849	1	1	TRUE	TRUE
X - 24020	2	1	FALSE	FALSE
